iter	Passed	Remaining
403	8577	12653
404	8595	12627
405	8616	12606
406	8639	12588
407	8656	12560
408	8681	12544
409	8701	12521
410	8727	12506
411	8746	12482
412	8762	12454
413	8779	12426
414	8796	12399
415	8813	12372
416	8831	12347
417	8848	12320
418	8866	12294
419	8887	12273
420	8904	12246
421	8923	12221
422	8942	12198
423	8959	12171
424	8980	12150
425	8997	12123
426	9016	12099
427	9034	12073
428	9051	12047
429	9070	12024
430	9089	11999
431	9104	11971
432	9121	11944
433	9139	11919
434	9156	11892
435	9174	11867
436	9192	11842
437	9209	11816
438	9228	11792
439	9245	11767
440	9269	11749
441	9288	11726
442	9305	11700
443	9323	11675
444	9340	11649
445	9358	11624
446	9379	11603
447	9398	11579
448	9413	11552
449	9431	11527
450	9457	11512
451	9475	11488
452	9494	11464
453	9513	11440
454	9532	11417
455	9566	11412
456	9593	11399
457	9611	11374
458	9630	11350
459	9647	11325
460	9664	11299
461	9681	11274
462	9699	11250
463	9717	11225
464	9734	11199
465	9751	11174
466	9772	11153
467	9798	11138
468	9815	11113
469	9834	11090
470	9852	11065
471	9868	11039
472	9894	11024
473	9911	10998
474	9928	10973
475	9947	10950
476	9965	10926
477	9982	10901
478	10003	10880
479	10021	10856
480	10038	10831
481	10056	10807
482	10072	10781
483	10090	10757
484	10107	10732
485	10123	10707
486	10141	10683
487	10158	10657
488	10181	10639
489	10199	10615
490	10217	10591
491	10234	10567
492	10251	10542
493	10270	10519
494	10286	10494
495	10304	10471
496	10324	10448
497	10342	10425
498	10369	10411
499	10386	10386
500	10403	10361
501	10418	10335
502	10440	10315
503	10456	10290
504	10474	10267
505	10493	10244
506	10515	10224
507	10532	10201
508	10549	10176
509	10565	10151
510	10583	10127
511	10602	10105
512	10620	10081
513	10637	10058
514	10656	10035
515	10680	10018
516	10697	9994
517	10713	9968
518	10730	9945
519	10749	9922
520	10765	9897
521	10784	9875
522	10801	9851
523	10820	9829
524	10836	9804
525	10856	9783
526	10873	9759
527	10890	9735
528	10908	9712
529	10925	9688
530	10941	9663
531	10957	9639
532	10974	9615
533	10991	9592
534	11009	9568
535	11028	9546
536	11045	9523
537	11068	9504
538	11094	9488
539	11111	9465
540	11135	9447
541	11157	9428
542	11176	9406
543	11194	9383
544	11215	9363
545	11232	9339
546	11251	9318
547	11269	9295
548	11287	9272
549	11305	9249
550	11322	9226
551	11341	9204
552	11360	9182
553	11376	9158
554	11393	9135
555	11409	9111
556	11427	9088
557	11444	9065
558	11462	9043
559	11481	9021
560	11507	9005
561	11528	8984
562	11545	8961
563	11562	8938
564	11580	8915
565	11607	8900
566	11623	8876
567	11640	8853
568	11660	8832
569	11693	8821
570	11709	8797
571	11726	8774
572	11743	8750
573	11760	8727
574	11779	8706
575	11796	8683
576	11815	8661
577	11831	8638
578	11848	8615
579	11865	8592
580	11884	8570
581	11903	8548
582	11920	8526
583	11937	8503
584	11964	8487
585	11987	8469
586	12004	8445
587	12021	8423
588	12039	8400
589	12056	8378
590	12074	8356
591	12094	8335
592	12110	8312
593	12129	8290
594	12152	8271
595	12170	8249
596	12188	8227
597	12204	8204
598	12226	8185
599	12242	8161
600	12260	8139
601	12276	8116
602	12293	8093
603	12311	8071
604	12329	8049
605	12350	8029
606	12375	8012
607	12399	7994
608	12420	7974
609	12437	7951
610	12456	7930
611	12473	7907
612	12491	7886
613	12508	7863
614	12524	7840
615	12541	7818
616	12561	7797
617	12579	7775
618	12597	7753
619	12614	7731
620	12632	7709
621	12652	7688
622	12669	7666
623	12687	7645
624	12706	7624
625	12735	7609
626	12761	7591
627	12780	7570
628	12801	7550
629	12819	7528
630	12837	7506
631	12853	7484
632	12869	7461
633	12892	7442
634	12910	7421
635	12927	7398
636	12949	7379
637	12966	7357
638	12984	7335
639	13010	7318
640	13029	7297
641	13046	7275
642	13063	7252
643	13080	7230
644	13098	7209
645	13115	7187
646	13134	7166
647	13157	7147
648	13173	7124
649	13191	7103
650	13208	7081
651	13225	7059
652	13243	7037
653	13261	7016
654	13278	6994
655	13295	6972
656	13312	6950
657	13328	6927
658	13346	6906
659	13361	6883
660	13380	6862
661	13397	6840
662	13416	6819
663	13432	6797
664	13454	6777
665	13470	6755
666	13488	6734
667	13506	6712
668	13523	6691
669	13545	6671
670	13563	6650
671	13579	6628
672	13597	6606
673	13616	6585
674	13632	6563
675	13655	6545
676	13674	6524
677	13696	6504
678	13714	6483
679	13730	6461
680	13749	6440
681	13765	6418
682	13791	6401
683	13808	6379
684	13826	6358
685	13845	6337
686	13861	6315
687	13877	6293
688	13893	6271
689	13909	6249
690	13931	6229
691	13947	6207
692	13963	6185
693	13983	6165
694	13998	6143
695	14016	6122
696	14034	6101
697	14051	6079
698	14067	6057
699	14083	6035
700	14100	6014
701	14116	5992
702	14135	5972
703	14153	5951
704	14169	5929
705	14187	5908
706	14206	5887
707	14222	5865
708	14237	5843
709	14264	5826
710	14283	5805
711	14301	5784
712	14319	5763
713	14335	5742
714	14353	5721
715	14372	5700
716	14388	5679
717	14404	5657
718	14423	5637
719	14454	5621
720	14471	5600
721	14488	5578
722	14506	5557
723	14522	5536
724	14539	5514
725	14556	5493
726	14575	5473
727	14591	5451
728	14609	5430
729	14625	5409
730	14644	5388
731	14662	5368
732	14680	5347
733	14700	5327
734	14717	5306
735	14734	5285
736	14752	5264
737	14771	5244
738	14788	5222
739	14805	5202
740	14827	5182
741	14842	5160
742	14858	5139
743	14876	5118
744	14893	5097
745	14911	5077
746	14928	5056
747	14945	5035
748	14963	5014
749	14985	4995
750	15001	4974
751	15025	4955
752	15042	4934
753	15060	4913
754	15077	4892
755	15092	4871
756	15109	4850
757	15124	4828
758	15142	4807
759	15159	4787
760	15175	4766
761	15192	4745
762	15209	4724
763	15228	4704
764	15249	4684
765	15266	4663
766	15281	4642
767	15300	4622
768	15317	4601
769	15333	4579
770	15349	4559
771	15366	4538
772	15383	4517
773	15399	4496
774	15416	4475
775	15433	4455
776	15452	4434
777	15469	4414
778	15485	4393
779	15504	4372
780	15519	4351
781	15536	4331
782	15554	4310
783	15570	4289
784	15589	4269
785	15609	4249
786	15626	4229
787	15644	4208
788	15662	4188
789	15677	4167
790	15694	4146
791	15709	4125
792	15726	4105
793	15744	4084
794	15761	4064
795	15779	4043
796	15796	4023
797	15819	4004
798	15835	3983
799	15865	3966
800	15882	3945
801	15898	3925
802	15918	3905
803	15936	3885
804	15953	3864
805	15971	3844
806	15988	3823
807	16005	3803
808	16033	3785
809	16049	3764
810	16077	3746
811	16095	3726
812	16113	3706
813	16132	3686
814	16151	3666
815	16170	3646
816	16187	3625
817	16215	3607
818	16231	3587
819	16249	3566
820	16265	3546
821	16287	3527
822	16304	3506
823	16322	3486
824	16338	3465
825	16355	3445
826	16372	3424
827	16390	3404
828	16407	3384
829	16424	3364
830	16441	3343
831	16463	3324
832	16480	3304
833	16497	3283
834	16520	3264
835	16537	3244
836	16556	3224
837	16572	3203
838	16589	3183
839	16605	3162
840	16624	3143
841	16641	3122
842	16660	3102
843	16678	3082
844	16698	3063
845	16721	3043
846	16738	3023
847	16756	3003
848	16774	2983
849	16791	2963
850	16815	2944
851	16834	2924
852	16850	2903
853	16869	2884
854	16888	2864
855	16906	2844
856	16923	2823
857	16942	2803
858	16961	2784
859	16977	2763
860	16994	2743
861	17010	2723
862	17027	2703
863	17046	2683
864	17069	2664
865	17088	2644
866	17105	2624
867	17124	2604
868	17146	2584
869	17163	2564
870	17186	2545
871	17208	2526
872	17226	2506
873	17245	2486
874	17262	2466
875	17287	2447
876	17305	2427
877	17324	2407
878	17342	2387
879	17360	2367
880	17383	2348
881	17405	2328
882	17423	2308
883	17440	2288
884	17457	2268
885	17475	2248
886	17491	2228
887	17508	2208
888	17529	2188
889	17547	2168
890	17563	2148
891	17580	2128
892	17597	2108
893	17615	2088
894	17661	2072
895	17679	2052
896	17696	2032
897	17712	2011
898	17729	1991
899	17748	1972
900	17770	1952
901	17790	1932
902	17810	1913
903	17827	1893
904	17847	1873
905	17863	1853
906	17880	1833
907	17896	1813
908	17911	1793
909	17929	1773
910	17946	1753
911	17967	1733
912	17984	1713
913	18000	1693
914	18016	1673
915	18032	1653
916	18049	1633
917	18067	1613
918	18084	1593
919	18102	1574
920	18117	1554
921	18134	1534
922	18151	1514
923	18171	1494
924	18189	1474
925	18205	1454
926	18220	1434
927	18237	1414
928	18255	1395
929	18272	1375
930	18296	1356
931	18311	1336
932	18328	1316
933	18344	1296
934	18360	1276
935	18376	1256
936	18393	1236
937	18410	1216
938	18426	1197
939	18443	1177
940	18462	1157
941	18484	1138
942	18500	1118
943	18517	1098
944	18534	1078
945	18552	1059
946	18569	1039
947	18586	1019
948	18606	999
949	18634	980
950	18652	961
951	18668	941
952	18686	921
953	18702	901
954	18721	882
955	18738	862
956	18754	842
957	18771	822
958	18794	803
959	18810	783
960	18826	764
961	18843	744
962	18862	724
963	18880	705
964	18897	685
965	18915	665
966	18934	646
967	18953	626
968	18971	606
969	18996	587
970	19017	567
971	19034	548
972	19057	528
973	19081	509
974	19098	489
975	19114	470
976	19131	450
977	19150	430
978	19173	411
979	19192	391
980	19208	372
981	19225	352
982	19241	332
983	19258	313
984	19276	293
985	19291	273
986	19309	254
987	19328	234
988	19354	215
989	19372	195
990	19389	176
991	19405	156
992	19428	136
993	19446	117
994	19472	97
995	19490	78
996	19506	58
997	19523	39
998	19539	19
999	19556	0
