iter	Logloss
0	0.6905579664
1	0.6882419735
2	0.6860084116
3	0.6839442007
4	0.6819575016
5	0.6800852314
6	0.6784669879
7	0.6768829393
8	0.6753842349
9	0.6739423152
10	0.6727043713
11	0.671489638
12	0.67042286
13	0.6693721765
14	0.6683367758
15	0.6674173322
16	0.6666106461
17	0.6657758781
18	0.6650617
19	0.664426323
20	0.663654596
21	0.6629838302
22	0.6623593421
23	0.6618640882
24	0.6613380301
25	0.6611060678
26	0.6607634495
27	0.6603053038
28	0.6598675986
29	0.6596810545
30	0.6593488475
31	0.6589376482
32	0.6585780757
33	0.658239087
34	0.6579229268
35	0.6576440181
36	0.6574121514
37	0.6572147662
38	0.6570902602
39	0.6568036147
40	0.6565150588
41	0.6564305265
42	0.6561747806
43	0.6559609665
44	0.6558555639
45	0.6557083727
46	0.6554854368
47	0.6552746792
48	0.6551209929
49	0.6549078474
50	0.6547576474
51	0.6546050596
52	0.6544796939
53	0.6543283477
54	0.6541775747
55	0.6540811983
56	0.6539576953
57	0.6538547761
58	0.6537692886
59	0.6536720049
60	0.6536157456
61	0.6535774912
62	0.6535331237
63	0.6534809715
64	0.6534041284
65	0.6532758972
66	0.6532477198
67	0.653191556
68	0.6531619459
69	0.6531090296
70	0.6529681903
71	0.6528712886
72	0.6527892398
73	0.6526571402
74	0.6526307776
75	0.6525918068
76	0.6524739392
77	0.6524019674
78	0.6523404547
79	0.6522722558
80	0.6522149458
81	0.652197514
82	0.6521836641
83	0.6521558209
84	0.6520822731
85	0.6520369027
86	0.6520107789
87	0.651974387
88	0.6519434396
89	0.6518938665
90	0.6518685068
91	0.6517547464
92	0.6516748945
93	0.6515688232
94	0.6514900697
95	0.6514748348
96	0.6514314225
97	0.6514109341
98	0.6513753542
99	0.6513605491
100	0.651337243
101	0.651234276
102	0.6511607282
103	0.6510868461
104	0.6510044152
105	0.6509077045
106	0.6508527824
107	0.6508446158
108	0.650775987
109	0.6507685845
110	0.6506787988
111	0.6506105044
112	0.6505820404
113	0.6505550092
114	0.6505376252
115	0.6505112148
116	0.6505083971
117	0.6505063912
118	0.6503756289
119	0.6503482634
120	0.6503373267
121	0.6502891385
122	0.6501351179
123	0.6501136744
124	0.6500651997
125	0.6500387893
126	0.6500179189
127	0.6499005767
128	0.649787676
129	0.6496989887
130	0.6496908221
131	0.6496828942
132	0.6496699517
133	0.6496176085
134	0.6495091016
135	0.6495022244
136	0.649491622
137	0.6494095732
138	0.649391234
139	0.6493810615
140	0.6493784348
141	0.6493743276
142	0.6493516901
143	0.6493146296
144	0.6492914191
145	0.6492765185
146	0.649263958
147	0.6492508245
148	0.6492431832
149	0.6491927504
150	0.6491435593
151	0.6491419355
152	0.6491011499
153	0.6490923146
154	0.6490865836
155	0.6490413087
156	0.6489960815
